pmid,ref_list
17074820,['15153999']
15153999,['17074820']
15213210,[]
7668302,[]
12721363,"['11842208', '12486239', '10430595', '9770501', '10445904', '9792879']"
9096352,"['10400923', '7668280', '9326337', '9114021']"
10788337,"['8178829', '8105688', '2569271', '7913583', '2569272', '2816939']"
9114021,"['11932244', '9096352']"
10330360,[]
9634526,['8651264']
11466240,[]
12184798,[]
14561327,['12486239']
12900503,"['10022981', '10655242', '10611357']"
1539589,['1342778']
9465087,"['9736742', '9792879', '7668275', '8981962', '9529345', '9144239', '9770501', '9199574', '9973303']"
11842208,"['12486239', '10430595', '10445904', '12721363']"
11309498,[]
9465125,[]
9990074,[]
12486239,"['11842208', '10430595', '10445904', '12721363', '14561327']"
8454213,"['9560405', '7705647', '9585597', '8524801', '7847383', '10978293', '7624310', '8159720', '8722803', '7913584', '8986803']"
8986803,"['9585597', '8454213']"
8849901,"['8633071', '10220421']"
8524801,"['8454213', '8878702', '7705647', '9585597', '8722803', '8159720']"
8651264,['9634526']
7668280,"['10400923', '7611282', '11005839', '9096352', '9371742', '9653150']"
7847383,['8454213']
8159720,"['8454213', '8524801']"
2563633,"['2569272', '8533777', '2014802', '1967207']"
2569271,"['2569272', '2565077', '1998345', '2574002', '1361100', '1981599', '1978553', '2816939', '1967207', '10788337', '2014802', '2904221', '2006152']"
2569272,"['2569271', '1998345', '2565077', '1981599', '2816939', '2014802', '1978553', '2574002', '1361100', '2563633', '2006152', '1967207', '2904221', '10788337']"
1978553,"['2569271', '2569272', '2816939', '1967207', '2904221', '1998345', '2574002', '2014802', '2565077', '1361100', '3615198', '1981599']"
10090900,[]
3862128,"['3615198', '6750607', '9556654', '1361100', '1709499']"
2014802,"['2569272', '2904221', '2816939', '1967207', '2569271', '1978553', '2563633']"
1674373,"['1709499', '1347420']"
1709499,"['1674373', '1347420', '3862128']"
1347420,"['1709499', '1674373']"
1361100,"['2569271', '2816939', '2569272', '1998345', '2565077', '1981599', '3862128', '1978553', '1967207']"
8178829,"['8105688', '7913583', '10788337', '8533774', '9634510']"
7887436,['9443867']
8533775,[]
8972876,[]
9016524,['8594560']
9556654,"['6750607', '3862128', '4854919']"
7624310,"['8878702', '10978293', '7705647', '8722803', '8454213']"
8940282,[]
10720574,[]
8981962,"['9634509', '9497257', '7942858', '9465087', '9792879', '7668275', '9973303']"
9529345,"['7668275', '10447507', '9399893', '9465087', '9443867', '9736746', '9973303', '7668274']"
9634509,"['8981962', '9837836', '7668275', '7942858', '9497257']"
9837836,['9634509']
10364535,"['7668275', '9736746', '10447507']"
10835412,"['10581301', '11606545']"
7668271,"['8651312', '9545414', '9311748', '9144239', '7768449']"
7703204,['2036343']
7942857,"['1496985', '9106543']"
9326336,[]
11435412,['8962130']
8571967,[]
11381027,[]
11606545,"['10835412', '10581301']"
11932244,['9114021']
9106543,"['7942857', '1496985']"
9683608,[]
10568748,"['10022981', '10364531']"
10090902,[]
9653150,"['10400923', '9371742', '11005839', '9106523', '9560405', '8644719', '7668280']"
1342778,['1539589']
8552603,"['9150165', '8304347', '9331370', '10053017']"
9144239,"['8651312', '8622960', '9465087', '7668271']"
9199574,"['9792879', '9465087']"
8962130,['11435412']
10430595,"['11842208', '12486239', '10445904', '12721363']"
10611357,"['10022981', '10447507', '12900503', '10364531', '10655242', '9634510']"
9736742,"['9465087', '9792879']"
1496986,"['1496985', '7913584']"
8446605,[]
10445904,"['11842208', '12486239', '10430595', '12721363']"
9736746,"['7668275', '10364535', '9529345']"
9409852,['9371742']
9114074,[]
9106523,"['9653150', '10400923']"
9331370,['8552603']
9371742,"['9409852', '9653150', '10400923', '11005839', '7668280']"
9012413,['8533774']
1353738,[]
7705647,"['8878702', '8454213', '8524801', '7624310', '9017402', '8722803']"
1743489,['11005839']
1732158,[]
2904221,"['1967207', '2014802', '2565077', '1978553', '2816939', '2569271', '7485171', '2564729', '2569272']"
2565077,"['2569271', '2569272', '2904221', '1978553', '1361100', '1967207']"
2564729,"['1967207', '2816939', '2904221', '1353941']"
2816939,"['2006152', '1967207', '1998345', '2569272', '1361100', '2569271', '1978553', '2574002', '2014802', '2564729', '1981599', '2904221', '1971147', '1353941', '3615198', '10788337']"
2574002,"['2569271', '1971147', '1998345', '1981599', '2569272', '1967207', '2816939', '1609797', '2006152', '1978553']"
1967207,"['2816939', '1353941', '2904221', '2574002', '1978553', '2564729', '2006152', '1971147', '2014802', '1981599', '2569271', '2569272', '2565077', '1361100', '2563633']"
8633071,"['11005839', '8849901']"
4854920,"['4854919', '496890']"
496890,"['4854919', '4854920', '6750607']"
6750607,"['4854919', '3862128', '9556654', '3475690', '496890']"
4854919,"['4854920', '496890', '6750607', '9556654']"
3475690,['6750607']
1981599,"['2569271', '2569272', '2574002', '1998345', '1967207', '2816939', '1361100', '2006152', '1978553']"
1609797,"['2574002', '1971147']"
1971147,"['2574002', '1967207', '2816939', '1609797']"
1998345,"['2006152', '2816939', '2569271', '2569272', '2574002', '1981599', '1361100', '1978553']"
2006152,"['2816939', '1998345', '1967207', '2569272', '2574002', '2569271', '1981599']"
1353941,"['1967207', '2816939', '2564729']"
8105688,"['8178829', '8659521', '7913583', '10788337', '8533774', '10364531']"
7913584,"['1496986', '8454213']"
1346260,[]
7913583,"['8178829', '8105688', '8533774', '9792879', '10788337']"
7668274,"['7668275', '9545414', '9529345']"
8594560,['9016524']
7568095,['7498756']
9585597,"['10978293', '8454213', '8524801', '8986803']"
9973303,"['10447507', '7668275', '9465087', '9529345', '10364531', '8981962']"
10364531,"['10611357', '10447507', '9973303', '10568748', '8105688']"
9399893,"['9529345', '8751872', '9683590', '10447507']"
7942858,"['8981962', '9634509', '9792879']"
7668275,"['10364535', '9465087', '9529345', '7668274', '9973303', '9736746', '9634509', '9497257', '9792879', '8981962']"
9497257,"['8981962', '7668275', '9634509']"
7942855,"['8978068', '7611282']"
7611282,"['8978068', '7942855', '9463310', '7668280', '10400923', '8644719', '11005839']"
8644719,"['7611282', '9653150']"
8978068,"['7611282', '7942855', '9463310', '8846908', '8304347']"
8722803,"['7624310', '7705647', '8524801', '8454213', '8878702']"
8878702,"['7705647', '7624310', '8524801', '8722803']"
9017402,['7705647']
9569667,['9628038']
9628038,['9569667']
7768449,['7668271']
7236566,['7236567']
7236567,['7236566']
2611189,[]
2036343,['7703204']
8352271,[]
9758619,"['10090898', '9541507', '10051618']"
10859364,[]
11121048,[]
9311748,['7668271']
9541507,"['9758619', '10090898']"
9634505,[]
9683590,"['10051618', '9399893']"
9042927,[]
10051618,"['10090898', '9758619', '9683590']"
10090898,"['9758619', '10051618', '9541507']"
8659521,['8105688']
9837834,[]
10318927,[]
10400923,"['7668280', '9096352', '11005839', '9653150', '9326337', '9371742', '7611282', '7485171', '10077682', '9106523']"
11005839,"['10400923', '9653150', '8633071', '1743489', '10077682', '9371742', '7668280', '7611282']"
9792879,"['9199574', '9770501', '9465087', '9736742', '8981962', '7913583', '7668275', '8533774', '12721363', '7942858']"
10655242,"['10022981', '10581301', '12900503', '10611357', '10447507', '9634510']"
12032283,[]
8900243,[]
9055088,"['9311756', '10053017']"
9326337,"['10400923', '9096352', '7485171', '10077682']"
9346874,['9463310']
9463310,"['8978068', '7611282', '9346874', '8304347']"
9560405,"['10924481', '8454213', '9653150']"
9683581,[]
10077682,"['11005839', '10400923', '9326337']"
10364534,['9837835']
10388828,"['9399816', '10978293']"
7912887,[]
8808610,[]
8751859,[]
9150165,"['8552603', '9311756']"
9837835,['10364534']
10053017,"['8846908', '9055088', '8552603', '7485171']"
10801975,['11158561']
8647407,[]
8846908,"['10053017', '8659526', '8978068']"
8808611,['8304347']
10581301,"['10835412', '10655242', '11467434', '11606545', '9649540']"
11158561,['10801975']
11467434,['10581301']
10220421,['8849901']
10978303,[]
9463316,[]
9649540,['10581301']
9199565,[]
9545414,"['8651312', '7668271', '7668274']"
8751872,"['8622960', '9345087', '9399893']"
9443867,"['7887436', '9529345', '10447507']"
9634510,"['10611357', '8178829', '10655242', '10447507']"
9611208,['9611209']
9611209,['9611208']
10022981,"['10655242', '12900503', '10611357', '10568748']"
8533777,['2563633']
7498756,['7568095']
8659526,['8846908']
8755923,[]
8755932,[]
9399816,['10388828']
8644711,[]
8304347,"['8552603', '8978068', '9463310', '8808611']"
8799174,['8622960']
8651312,"['7668271', '9545414', '8622960', '9144239']"
8622960,"['8651312', '8751872', '9144239', '8799174']"
9585595,[]
9770501,"['9792879', '9465087', '12721363']"
10924481,['9560405']
10978293,"['9585597', '7624310', '8454213', '10388828', '8356042']"
10447507,"['9973303', '10611357', '9529345', '10364531', '10655242', '9443867', '10364535', '9634510', '9399893']"
1496985,"['1496986', '7942857', '9106543']"
1465380,[]
9345087,['8751872']
8356042,['10978293']
7485171,"['10053017', '10400923', '2904221', '9326337']"
9311756,"['9055088', '9150165']"
8533774,"['9012413', '7913583', '8178829', '8105688', '9792879']"
1975791,[]
3453117,['3496523']
3496523,['3453117']
3615198,"['3862128', '1978553', '2816939']"
342506,"['342507', '6245058', '3283109', '6355059', '7016835', '6988401', '9836874']"
6245058,"['342507', '342506', '3283109', '6988401', '6355059', '7016835', '3082857']"
6988401,"['7016835', '6355059', '6245058', '3283109', '3082857', '342507', '342506']"
6302076,"['6330026', '342507']"
342507,"['342506', '6245058', '3283109', '6355059', '7016835', '6988401', '6302076', '9836874']"
7016835,"['6355059', '6988401', '3283109', '342507', '342506', '6245058', '3082857', '9836874']"
6355059,"['3283109', '7016835', '342507', '6988401', '6245058', '342506', '9836874', '3082857', '21784929']"
6330026,"['6302076', '3156064']"
3082857,"['6988401', '3283109', '7016835', '6355059', '6245058']"
2820924,[]
3283109,"['6355059', '342507', '342506', '7016835', '21784929', '6245058', '6988401', '9836874', '3082857']"
3129409,[]
7868611,[]
10733957,[]
12208995,[]
12218039,[]
3156064,['6330026']
9139930,['9748442']
9748442,['9139930']
8300543,['8990197']
9023230,"['11244055', '16938894']"
10922040,['14977985']
15520285,"['10500101', '12183369', '12670975', '12183368']"
12761086,[]
12670975,"['10500101', '12183369', '15520285', '12183368', '15968066']"
12228259,['14532045']
11796603,[]
9184008,[]
10500101,"['12670975', '12183369', '15520285', '12183368', '15371343']"
15968066,['12670975']
12183368,"['10500101', '12183369', '12670975', '15520285']"
12183369,"['10500101', '15520285', '12670975', '12183368']"
15371343,['10500101']
11807066,"['8759866', '8550474']"
12897017,"['7642488', '12169610']"
17079680,[]
17012381,[]
17650335,[]
7790093,[]
7790094,['11058151']
17548482,['17724072']
17724072,"['17548482', '12438354', '19687040']"
19687040,"['17724072', '21113180']"
12438354,['17724072']
7642488,['12897017']
19917103,[]
17189297,[]
