pmid,ref_list
1311171,"['3025593', '2851999', '3034602', '2543975']"
3028370,"['2994628', '230821', '3036064']"
3036081,"['2840891', '2994628']"
2840891,"['3036081', '230821', '2994628', '2557001', '6289804', '6274310', '204299', '3036064']"
1314568,"['2557001', '219849', '3034602', '7753822', '949336']"
2025220,"['2025221', '6615425', '4004778']"
2025222,"['6615425', '2025221', '1327760', '3896234', '3566712', '7236202', '2557001', '999652']"
3036064,"['2851981', '2994628', '2557001', '6293467', '230821', '204299', '209453', '1329722', '6274310', '186037', '3028370', '2996486', '2840891']"
1987130,"['1694525', '2644235', '2107074']"
8615825,"['1323838', '7753822', '2552442', '8385607', '2557001', '1327760', '6289804', '2851999', '3034602']"
1339284,"['3467361', '3927292']"
2994628,"['230821', '3028370', '3036064', '6274310', '1850989', '3036081', '2557001', '204299', '2840891', '1329722', '219849']"
3140780,"['6274310', '2851981']"
2557001,"['3034602', '1323838', '7753822', '204299', '1327760', '8615825', '7236202', '6615425', '3036064', '6289804', '999652', '6293467', '230821', '2543975', '7283980', '2994628', '2851999', '186037', '2840891', '1314568', '7236203', '219849', '2552442', '209453', '2025222', '6274310', '200917']"
1329722,"['2994628', '3036064']"
486087,"['849260', '708376', '7240', '938474', '187173']"
3931636,['6274310']
8503862,['1327760']
230821,"['6779811', '6274310', '2994628', '629745', '204299', '2557001', '186037', '3036064', '2840891', '6293467', '219849', '200917', '6274318', '3028370', '8198555']"
1850989,"['2994628', '3355524']"
8198555,['230821']
6779811,"['230821', '6615424', '6274310', '629745', '2851981']"
8192668,"['1930136', '3814093', '2604727', '3545185', '4004778', '3010323', '2537618', '3223923', '3421948', '2690828', '3927292', '3890831', '1868826', '2317204', '2930462', '3435459', '3753440']"
3025593,"['1311171', '6373250']"
4504350,"['4333043', '61588', '4139705']"
3034602,"['2543975', '2851999', '2557001', '7753822', '1323838', '2552442', '6289804', '1327760', '3010323', '204299', '1311171', '200917', '3927292', '6956912', '1314568', '8615825', '3463996']"
291909,"['424306', '1093178', '353736', '4736534', '4610567', '4530310', '6262521', '4527690']"
209453,"['3036064', '2557001']"
200917,"['6260081', '1323838', '7753822', '2552442', '3034602', '2543975', '230821', '6289804', '186037', '2557001', '2996486']"
2552442,"['7753822', '2543975', '1323838', '6289804', '3034602', '8385607', '2851999', '8615825', '200917', '1327760', '2557001', '2994060']"
2851999,"['3034602', '2543975', '2552442', '1311171', '2557001', '7753822', '8615825', '1327760', '2994060', '1323838', '3545185', '3463996']"
2543975,"['3034602', '2552442', '7753822', '1323838', '2851999', '6289804', '2557001', '1327760', '6300662', '6166005', '6165999', '200917', '8385607', '1311171', '3010323', '3927292']"
7236202,"['999652', '7236203', '6615425', '11783', '6615424', '2557001', '7283980', '2025222', '6615426']"
6615424,"['7236203', '6615426', '7236202', '6779811', '6615425', '999652']"
6615425,"['7236202', '999652', '7236203', '11783', '2025222', '6615424', '2557001', '2025220', '7283980']"
6615426,"['6615424', '11783', '7236202']"
2025221,"['2025220', '2025222', '1327760', '3566712']"
11783,"['999652', '7236203', '7236202', '6615425', '3896234', '6615426']"
2996486,"['6477524', '3036064', '200917']"
3558321,"['2644235', '7190385']"
3112774,[]
2644235,"['3558321', '1987130', '7378068']"
2107074,"['3045077', '1987130']"
1694525,['1987130']
1323838,"['7753822', '2552442', '6289804', '1327760', '2543975', '8385607', '2557001', '8615825', '3034602', '200917', '204299', '2851999', '6260081']"
1327760,"['1323838', '8385607', '7753822', '6289804', '2557001', '8615825', '3566712', '3034602', '2025222', '3896234', '2543975', '8503862', '2851999', '2552442', '2025221', '1840696', '204299']"
7681992,[]
7753822,"['1323838', '2552442', '6289804', '2543975', '3034602', '8385607', '1327760', '2557001', '8615825', '200917', '2851999', '1314568']"
2388038,['6370241']
2649083,"['2818558', '3718473']"
3467361,"['3479771', '3469643', '1339284', '3863100']"
3479771,"['3467361', '3035561']"
3035561,['3479771']
3469643,['3467361']
2302188,"['2829834', '2994060']"
2818558,['2649083']
2851981,"['3036064', '3140780', '6779811']"
3208738,['3472237']
187173,"['7240', '849260', '486087', '6370241']"
708376,"['849260', '486087', '7240', '3463996', '3010323']"
849260,"['486087', '708376', '7240', '187173', '3545185']"
7240,"['187173', '708376', '849260', '486087', '938474']"
938474,"['7240', '486087']"
1840696,"['2000403', '3566712', '1327760', '3896234']"
1681116,"['2104942', '2153223']"
2000403,['1840696']
186037,"['204299', '186036', '219849', '6274318', '6293467', '230821', '2557001', '6274310', '200917', '3036064']"
204299,"['186037', '186036', '2557001', '219849', '6293467', '230821', '3034602', '2994628', '6274318', '3036064', '1323838', '6274310', '2840891', '1327760']"
219849,"['186037', '204299', '186036', '6293467', '6274310', '230821', '2557001', '6274318', '2994628', '1314568']"
629745,"['230821', '6274310', '6779811']"
3355524,"['1850989', '597231']"
2829835,[]
186036,"['186037', '204299', '6274318', '219849', '6274310', '6293467', '1220686', '228650']"
1930136,"['3814093', '2930462', '3223923', '2604727', '3435459', '2537618', '8192668', '3421948', '2690828', '4004778', '3890831', '3545185', '3753440', '3010323', '2317204', '1868826', '2835398', '3927292']"
